filters,1st_dense,lr,momentum,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11
32,20,7.187204978087173e-05,0.0384932177126559,0.5426428318023682,0.7340714335441589,0.7946428656578064,0.8263571262359619,0.8439285755157471,0.8550714254379272,0.8623571395874023,0.869357168674469,0.8742142915725708,0.8777857422828674,0.8813571333885193,0.8849285840988159,1.6054844856262207,1.123091459274292,0.8849703073501587,0.7518081665039062,0.6641324758529663,0.6017215251922607,0.5558598637580872,0.5213391184806824,0.4939391613006592,0.47184908390045166,0.4538484513759613,0.4381473660469055
8,60,2.7702188285498643e-05,0.4167373275304078,0.2692142724990845,0.4189999997615814,0.5147143006324768,0.5842142701148987,0.6430000066757202,0.6941428780555725,0.730571448802948,0.7584285736083984,0.7745000123977661,0.7895714044570923,0.8002142906188965,0.8109999895095825,2.151324510574341,1.9302412271499634,1.7475701570510864,1.584296703338623,1.437934160232544,1.3088951110839844,1.1955540180206299,1.0964272022247314,1.0103216171264648,0.9356814026832581,0.8711484670639038,0.8153412342071533
128,20,0.0021746407957592066,0.8314154859892315,0.94435715675354,0.9628571271896362,0.9693571329116821,0.9727857112884521,0.9767143130302429,0.9738571643829346,0.9773571491241455,0.9797142744064331,0.9787856936454773,0.9798571467399597,0.9790714383125305,0.9791428446769714,0.18687480688095093,0.1270914375782013,0.10577721893787384,0.0905771255493164,0.08060925453901291,0.08542327582836151,0.07303885370492935,0.06855394691228867,0.06919531524181366,0.06901030987501144,0.07102468609809875,0.07228119671344757
64,120,0.0163591380178559,0.17406430059670086,0.9621428847312927,0.9695000052452087,0.9721428751945496,0.9787856936454773,0.981071412563324,0.9821428656578064,0.9824285507202148,0.9848571419715881,0.9820713996887207,0.9817857146263123,0.9860000014305115,0.9828571677207947,0.1320636123418808,0.09891859441995621,0.09152795374393463,0.06939726322889328,0.06351067125797272,0.05923129618167877,0.05633070319890976,0.05105958506464958,0.05575725436210632,0.05623506382107735,0.048867933452129364,0.0561254546046257
128,20,3.6850945808513886e-05,0.0324644390103499,0.7042142748832703,0.8027856945991516,0.8347856998443604,0.856071412563324,0.8679285645484924,0.8799999952316284,0.8863571286201477,0.8925714492797852,0.8963571190834045,0.8999999761581421,0.9018571376800537,0.904285728931427,1.2455486059188843,0.8616501688957214,0.6998352408409119,0.6078234314918518,0.543100893497467,0.49828964471817017,0.4661354422569275,0.44128066301345825,0.42100411653518677,0.40406882762908936,0.3899745047092438,0.3779233992099762
64,140,2.9937010307494385e-05,0.2980246729388889,0.7360714077949524,0.8141428828239441,0.8437857031822205,0.8611428737640381,0.8709999918937683,0.8784999847412109,0.8848571181297302,0.8894285559654236,0.8941428661346436,0.8970714211463928,0.9007142782211304,0.9023571610450745,1.241638422012329,0.8533677458763123,0.6858540773391724,0.5940138697624207,0.535399854183197,0.49424198269844055,0.4635127782821655,0.4396756887435913,0.42007341980934143,0.4041971266269684,0.39039069414138794,0.3783859610557556
128,80,8.238072026848209e-05,0.05874928594737172,0.8496428728103638,0.8776428699493408,0.8915714025497437,0.8985000252723694,0.9037142992019653,0.9089999794960022,0.9132142663002014,0.916357159614563,0.918071448802948,0.9207857251167297,0.9235714077949524,0.9256428480148315,0.6479097604751587,0.4824551045894623,0.4159345030784607,0.37743160128593445,0.3505750000476837,0.3315417170524597,0.3163917362689972,0.3039039969444275,0.29300761222839355,0.28374043107032776,0.2762695550918579,0.26813971996307373
8,100,0.0009371902980134059,0.584070984422346,0.8967142701148987,0.9126428365707397,0.9212142825126648,0.9286428689956665,0.9347142577171326,0.9389285445213318,0.9432142972946167,0.9477857351303101,0.9480714201927185,0.9520714282989502,0.9538571238517761,0.9558571577072144,0.3749898076057434,0.3006989061832428,0.26626232266426086,0.2420293688774109,0.22205562889575958,0.2067636251449585,0.19280707836151123,0.18047159910202026,0.1731293946504593,0.16410891711711884,0.15419599413871765,0.1473695933818817
32,100,0.0005302114551288587,0.8963563474185541,0.9279285669326782,0.9470714330673218,0.9577142596244812,0.9657857418060303,0.9696428775787354,0.9727143049240112,0.9739999771118164,0.9745714068412781,0.9765714406967163,0.9767857193946838,0.9790714383125305,0.9789999723434448,0.24786998331546783,0.17977693676948547,0.14623886346817017,0.12304693460464478,0.11109816282987595,0.09965679049491882,0.09242426604032516,0.08722297847270966,0.08188604563474655,0.07975032925605774,0.07446986436843872,0.07091561704874039
64,180,0.0002925408679543319,0.7319564877424449,0.9203571677207947,0.9342142939567566,0.941428542137146,0.9480000138282776,0.9514285922050476,0.9549999833106995,0.9570000171661377,0.9588571190834045,0.9622142910957336,0.9630714058876038,0.966785728931427,0.9670714139938354,0.292358934879303,0.23685956001281738,0.2068714052438736,0.18572866916656494,0.17071442306041718,0.15696196258068085,0.14996235072612762,0.14080335199832916,0.1318240910768509,0.12830276787281036,0.11978276818990707,0.11582978069782257
