filters,1st_dense,lr,momentum,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11
128,200,0.014816548144664453,0.36093574915758786,0.9628571271896362,0.9757857322692871,0.9784285426139832,0.9809285998344421,0.9800714254379272,0.9825000166893005,0.9818571209907532,0.9852142930030823,0.984000027179718,0.9855714440345764,0.9858571290969849,0.9860000014305115,0.11943047493696213,0.08128709346055984,0.07331045717000961,0.06020963564515114,0.0633489340543747,0.05621149390935898,0.05827735736966133,0.048693858087062836,0.051802922040224075,0.04748952016234398,0.047807835042476654,0.04855269938707352
32,60,0.001911307010099216,0.5054594787181865,0.9251428842544556,0.9417142868041992,0.9485714435577393,0.9549285769462585,0.9596428275108337,0.9626428484916687,0.9639999866485596,0.9605714082717896,0.9672142863273621,0.9682857394218445,0.9699285626411438,0.9700714349746704,0.2609805762767792,0.2064753621816635,0.1774568408727646,0.15953142940998077,0.14484965801239014,0.13328491151332855,0.12586869299411774,0.1308494657278061,0.11235977709293365,0.10679775476455688,0.10263915359973907,0.10077406466007233
64,80,0.04737733445650175,0.47293526741644953,0.967285692691803,0.9772857427597046,0.9789999723434448,0.9815714359283447,0.9825714230537415,0.9837856888771057,0.9829285740852356,0.9824285507202148,0.9842143058776855,0.9836428761482239,0.9825000166893005,0.9841428399085999,0.10739756375551224,0.07420900464057922,0.0713738426566124,0.06140691414475441,0.061499591916799545,0.0575018972158432,0.06163300573825836,0.06443455815315247,0.06090087443590164,0.06436650454998016,0.0678708478808403,0.06417514383792877
32,100,0.00028460726756694373,0.7538988476782521,0.9062142968177795,0.9227142930030823,0.9322142601013184,0.9391428828239441,0.9425714015960693,0.9477142691612244,0.9500714540481567,0.9524999856948853,0.954285740852356,0.9568571448326111,0.9572142958641052,0.9600714445114136,0.35528334975242615,0.2809043228626251,0.24492843449115753,0.2238566130399704,0.20569898188114166,0.1910983771085739,0.1806778609752655,0.1702100783586502,0.16272486746311188,0.15462732315063477,0.15077561140060425,0.14405667781829834
32,20,0.026827016459465086,0.46669226512927364,0.9627857208251953,0.9727143049240112,0.977571427822113,0.9797142744064331,0.9795714020729065,0.978857159614563,0.9819285869598389,0.9817143082618713,0.9809285998344421,0.9822142720222473,0.9829999804496765,0.9815000295639038,0.1287301927804947,0.09170490503311157,0.0753282979130745,0.0678573027253151,0.06702837347984314,0.07002658396959305,0.06276631355285645,0.06171388924121857,0.06454756110906601,0.06026031821966171,0.06086769700050354,0.06692267954349518
32,200,0.0606001974919342,0.29561581754063193,0.9739285707473755,0.9784285426139832,0.9841428399085999,0.985785722732544,0.9855714440345764,0.9859285950660706,0.9852856993675232,0.9860714077949524,0.9868571162223816,0.9864285588264465,0.9869999885559082,0.9868571162223816,0.08619246631860733,0.07306301593780518,0.05323198065161705,0.049153365194797516,0.049478624016046524,0.046223048120737076,0.04960164800286293,0.04822709411382675,0.05023697391152382,0.0500875860452652,0.04942404106259346,0.050390273332595825
8,200,2.1635243500988696e-05,0.4078797891416396,0.27621427178382874,0.4953571557998657,0.6154999732971191,0.6849285960197449,0.7257857322692871,0.7592142820358276,0.7805714011192322,0.7986428737640381,0.8117856979370117,0.8206428289413452,0.8282142877578735,0.8345000147819519,2.1070079803466797,1.8373652696609497,1.615273356437683,1.4318580627441406,1.2810261249542236,1.156754970550537,1.0539770126342773,0.9686087965965271,0.8972597122192383,0.8372670412063599,0.7863622903823853,0.7429961562156677
128,80,0.0025415590421708303,0.02767510202118717,0.94092857837677,0.9549285769462585,0.9643571376800537,0.9670714139938354,0.9699285626411438,0.9738571643829346,0.9721428751945496,0.9753571152687073,0.9738571643829346,0.9775000214576721,0.9786428809165955,0.9792143106460571,0.20453394949436188,0.16158989071846008,0.13094404339790344,0.11984886229038239,0.11036624759435654,0.09838742762804031,0.09661644697189331,0.08710327744483948,0.08850321173667908,0.07970445603132248,0.07644810527563095,0.07370942831039429
128,20,0.006639969249142232,0.3402119813415,0.9527857303619385,0.9591428637504578,0.9663571715354919,0.9742143154144287,0.9735714197158813,0.9742143154144287,0.977642834186554,0.9781428575515747,0.9792143106460571,0.9803571701049805,0.9804999828338623,0.9782142639160156,0.16845650970935822,0.1361822783946991,0.11179652810096741,0.08793918788433075,0.08786790817975998,0.08491230756044388,0.07276812940835953,0.07451600581407547,0.06760329753160477,0.06676793843507767,0.06526733934879303,0.07404977083206177
8,100,2.4608986085295983e-05,0.4291785621358072,0.15785714983940125,0.3018571436405182,0.42178571224212646,0.5059999823570251,0.5663571357727051,0.612500011920929,0.6494285464286804,0.678857147693634,0.7009999752044678,0.7220714092254639,0.7391428351402283,0.7563571333885193,2.2672359943389893,2.1446375846862793,2.0361289978027344,1.931452751159668,1.8273147344589233,1.7227531671524048,1.6180626153945923,1.514639973640442,1.4141526222229004,1.3185607194900513,1.2294889688491821,1.1477965116500854
32,40,1.1198015181121456e-05,0.009996760880364386,0.207857146859169,0.30807143449783325,0.4122142791748047,0.4983571469783783,0.5572142601013184,0.5962142944335938,0.6230000257492065,0.645714282989502,0.6643571257591248,0.6816428303718567,0.6955000162124634,0.7089285850524902,2.2119457721710205,2.106157064437866,2.003988027572632,1.90687894821167,1.8151116371154785,1.7283042669296265,1.6463212966918945,1.5694407224655151,1.4978529214859009,1.4316585063934326,1.3707467317581177,1.3148053884506226
128,20,0.009357342877132647,0.699362579046882,0.9418571591377258,0.9697142839431763,0.968999981880188,0.9695000052452087,0.9768571257591248,0.9767143130302429,0.979357123374939,0.9798571467399597,0.9785714149475098,0.9799285531044006,0.9796428680419922,0.980571448802948,0.19044050574302673,0.1056041419506073,0.10932593047618866,0.1011364758014679,0.07874903082847595,0.07959474623203278,0.07306279987096786,0.07057545334100723,0.07569852471351624,0.068830706179142,0.07186810672283173,0.06988148391246796
