filters,strides,max_pool,1st_dense,lr,momentum,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,acc_6,acc_7,acc_8,acc_9,acc_10,acc_11,loss_0,loss_1,loss_2,loss_3,loss_4,loss_5,loss_6,loss_7,loss_8,loss_9,loss_10,loss_11
32,5,5,120,0.0003662340432035952,0.8118935128406052,0.8873571157455444,0.9247857332229614,0.9384999871253967,0.9479285478591919,0.9516428709030151,0.9579285979270935,0.9595714211463928,0.962071418762207,0.9645000100135803,0.9662142992019653,0.9662142992019653,0.9684285521507263,0.4850793480873108,0.3069517910480499,0.24101503193378448,0.2014087587594986,0.17775097489356995,0.16024543344974518,0.14799290895462036,0.13837121427059174,0.1277981400489807,0.12160962074995041,0.1182645708322525,0.11115600913763046
128,2,2,60,4.640218209955225e-05,0.4707554179473218,0.8490714430809021,0.8777857422828674,0.8899999856948853,0.8970000147819519,0.9011428356170654,0.9049999713897705,0.9072142839431763,0.9107857346534729,0.9137856960296631,0.9160714149475098,0.9170714020729065,0.9187856912612915,0.6524678468704224,0.48465925455093384,0.41842469573020935,0.3813991844654083,0.35699188709259033,0.3385257422924042,0.3245612382888794,0.31288594007492065,0.30289632081985474,0.2942168712615967,0.2864193320274353,0.27994370460510254
64,5,5,100,0.0003697506157807715,0.28740551765406175,0.8036428689956665,0.8588571548461914,0.8869285583496094,0.900857150554657,0.9089285731315613,0.9174285531044006,0.9222142696380615,0.9272857308387756,0.9304285645484924,0.9347142577171326,0.9382143020629883,0.9407142996788025,0.8642302751541138,0.5843119621276855,0.4629518389701843,0.3946627080440521,0.348860502243042,0.3151862919330597,0.2910667955875397,0.26975396275520325,0.2543336749076843,0.24043598771095276,0.22784624993801117,0.2166549116373062
32,2,2,80,0.005845123298379481,0.2526378828369914,0.9457142949104309,0.9557856917381287,0.9649285674095154,0.9704285860061646,0.9725000262260437,0.9751428365707397,0.9742143154144287,0.9774285554885864,0.9777143001556396,0.9794999957084656,0.9804285764694214,0.9801428318023682,0.18929605185985565,0.1445249617099762,0.11899172514677048,0.10079942643642426,0.09244890511035919,0.08202220499515533,0.0864676833152771,0.07581079751253128,0.07045146077871323,0.06744925677776337,0.06431667506694794,0.0625775158405304
32,5,2,200,0.043352230720824315,0.17058622637469378,0.9714285731315613,0.9802142977714539,0.9837142825126648,0.9852142930030823,0.9852142930030823,0.9867143034934998,0.9877856969833374,0.9883571267127991,0.9883571267127991,0.9875714182853699,0.9879999756813049,0.9880714416503906,0.0937638133764267,0.06312957406044006,0.0523703396320343,0.04779892787337303,0.046756744384765625,0.04225262999534607,0.04187893122434616,0.04068535938858986,0.04149520769715309,0.04258965328335762,0.04315744712948799,0.04154730215668678
32,3,2,100,1.1120179734929466e-05,0.7470141675837141,0.5801428556442261,0.7393571138381958,0.7897142767906189,0.8179285526275635,0.8338571190834045,0.8482857346534729,0.8573571443557739,0.8634285926818848,0.8703571557998657,0.8749285936355591,0.8783571720123291,0.881928563117981,1.6573415994644165,1.2456008195877075,1.0001556873321533,0.8482246994972229,0.7465037107467651,0.6736375093460083,0.6193510890007019,0.5773083567619324,0.5439138412475586,0.5167416930198669,0.4938468337059021,0.47453629970550537
8,3,3,60,3.1858311044477446e-05,0.4573549690320836,0.18435713648796082,0.27000001072883606,0.3708571493625641,0.47185713052749634,0.5557857155799866,0.616357147693634,0.6545000076293945,0.6877856850624084,0.7092857360839844,0.7267857193946838,0.742642879486084,0.7565714120864868,2.252469778060913,2.0490031242370605,1.894555926322937,1.7607356309890747,1.6382262706756592,1.5235060453414917,1.4164464473724365,1.316576600074768,1.2250096797943115,1.1429047584533691,1.0697100162506104,1.0047754049301147
128,3,3,160,0.005711791412400216,0.5815140798150032,0.9614285826683044,0.9722142815589905,0.9780714511871338,0.9789999723434448,0.9815714359283447,0.9860714077949524,0.984499990940094,0.9845714569091797,0.9867143034934998,0.9869999885559082,0.9860714077949524,0.9867857098579407,0.12862414121627808,0.09289658814668655,0.07425899803638458,0.07407589256763458,0.05980200693011284,0.050582755357027054,0.05115893483161926,0.05195879563689232,0.04544368013739586,0.045175306499004364,0.046504389494657516,0.04426702857017517
16,2,5,20,5.1836125412135697e-05,0.4853377194909019,0.19528570771217346,0.27071428298950195,0.3368571400642395,0.4034999907016754,0.4690714180469513,0.5230000019073486,0.5695000290870667,0.6100000143051147,0.6377857327461243,0.6585714221000671,0.6741428375244141,0.6867856979370117,2.193959951400757,2.0599112510681152,1.9473474025726318,1.8433330059051514,1.7424200773239136,1.6429692506790161,1.546514868736267,1.4566136598587036,1.3772928714752197,1.3066463470458984,1.2440669536590576,1.1881458759307861
16,5,3,20,1.5444805548832998e-05,0.21367499315170502,0.1176428571343422,0.1460714340209961,0.1802142858505249,0.21528571844100952,0.2522142827510834,0.2841428518295288,0.3147857189178467,0.3418571352958679,0.3669285774230957,0.39149999618530273,0.4165000021457672,0.44364285469055176,2.3353095054626465,2.2610247135162354,2.2114365100860596,2.1665077209472656,2.12288761138916,2.080348491668701,2.038501739501953,1.9970697164535522,1.9554884433746338,1.913252830505371,1.8707911968231201,1.8288967609405518
8,3,2,180,0.0023840688193835276,0.14868348155203104,0.9077857136726379,0.9241428375244141,0.9365714192390442,0.9417856931686401,0.9467856884002686,0.9503571391105652,0.955214262008667,0.9563571214675903,0.9592142701148987,0.9601428508758545,0.9631428718566895,0.965571403503418,0.3241370618343353,0.2607179582118988,0.22103524208068848,0.19815760850906372,0.17780718207359314,0.16634231805801392,0.15366071462631226,0.144575297832489,0.13494731485843658,0.1301163285970688,0.12072227895259857,0.1141313686966896
32,5,3,160,0.013885015024916923,0.18236354476093097,0.9602857232093811,0.9744285941123962,0.9769999980926514,0.9826428294181824,0.9847857356071472,0.9812856912612915,0.9852142930030823,0.9855714440345764,0.9865714311599731,0.9860714077949524,0.9872857332229614,0.9876428842544556,0.13245022296905518,0.08916042745113373,0.0758889690041542,0.061335548758506775,0.05366211757063866,0.0612267404794693,0.04976901412010193,0.049228619784116745,0.04733898490667343,0.045052263885736465,0.044578734785318375,0.04281563311815262
